Amotape	Canchaque	CarpaChavin	Carpish	Celendin	Chavinillo	Chinchan	Contumaza	CorBlanca	curtata	Duraznopampa	ElMolino	Huamatanga	LaQuinua	Llama	Macate	Pacar	Porculla	Quichas	Suyubamba
Amotape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canchaque	0.261843594807059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CarpaChavin	0.388677395400287	0.187730471972425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carpish	0.440404272110177	0.275984027585094	0.173629758040001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celendin	0.33979980808432	0.13340222397951	0.110190401687891	0.227722944472261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chavinillo	0.41861408372318	0.211691532256829	0.040390389576777	0.167155715683939	0.134258255908358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chinchan	0.423940746162904	0.209230053816692	0.0665324194103107	0.22316125835347	0.112132811204247	0.0983023629592806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Contumaza	0.361885066128284	0.14435669200138	0.11174474618093	0.232788300681656	0.0753097005015342	0.133574553803214	0.11528318697907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CorBlanca	0.400802133769237	0.172164881167102	0.0504654467018401	0.200203519521063	0.0900951511963581	0.0783906419906959	0.0385584014510299	0.0842226575267914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
curtata	0.421290964060544	0.250224801653704	0.28367129547279	0.352752002012412	0.241617455997484	0.321676258894654	0.315525837301519	0.236461991620308	0.288751543672494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Duraznopampa	0.326600196378879	0.125091349884515	0.104622205093888	0.222740394306773	0.071147276675493	0.126781396733053	0.111698283730905	0.0725289203340827	0.0848684680790311	0.230561379323693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ElMolino	0.372792539357925	0.161946901042501	0.0680204493152814	0.208546404285764	0.0749589563665835	0.0947023466786187	0.0739642839228401	0.0694301348336561	0.0470465492143366	0.256822965772985	0.0779232233982707	NA	NA	NA	NA	NA	NA	NA	NA	NA
Huamatanga	0.552221093779787	0.384154501553099	0.318936211811247	0.397735405922823	0.316501428024983	0.361754206864321	0.362685286100249	0.313265146496156	0.317834674641742	0.51795471873941	0.322757239207308	0.310860887920179	NA	NA	NA	NA	NA	NA	NA	NA
LaQuinua	0.499182462279215	0.35549029320854	0.247702617238013	0.108238818479389	0.299084377127747	0.250284092157695	0.30565035751859	0.300701001063936	0.276676569240441	0.442666522608529	0.292093110502476	0.281153359079315	0.491774426566448	NA	NA	NA	NA	NA	NA	NA
Llama	0.280128503520265	0.0640409539757589	0.150921738530538	0.237578097423394	0.103073658090774	0.16352517800771	0.159159979535593	0.0978505461020105	0.133624255692117	0.208154332797116	0.0925985339549682	0.122870192148902	0.320237138546261	0.311361879682924	NA	NA	NA	NA	NA	NA
Macate	0.403423430402962	0.194643611054889	0.137251767267281	0.237741825818333	0.144003866928639	0.156637641592332	0.139395643597977	0.151522197208697	0.105089038287719	0.284429893973601	0.151581558996005	0.125406320247046	0.165783130909947	0.297852536184129	0.164974135228555	NA	NA	NA	NA	NA
Pacar	0.508193428038156	0.341169469535915	0.292484572854359	0.359812838317648	0.28732350848893	0.323646681316594	0.317291349569959	0.293478869658338	0.289217024523036	0.423810244091956	0.295082591539735	0.280352795451604	0.125604170023505	0.430637189998136	0.299908395402645	0.110565162508202	NA	NA	NA	NA
Porculla	0.237292127378982	0.0319663582800062	0.16491534820245	0.243617225365411	0.110354406537893	0.179570488755717	0.17624107251925	0.1232471085974	0.148047625841159	0.191234500593523	0.102897314466626	0.140709882378387	0.3261519486362	0.306311940025942	0.0375082450794581	0.1734927948337	0.298057253620343	NA	NA	NA
Quichas	0.566295920815937	0.445650580241743	0.389098212030764	0.44578497841247	0.39086058606724	0.434599166641965	0.419623628914435	0.396733125066271	0.39416695435878	0.510691174772555	0.396114857483074	0.385258814045592	0.0755910266074537	0.513817998316047	0.403740557285083	0.209284491452771	0.121494620713443	0.39176708138668	NA	NA
Suyubamba	0.375722325590644	0.160568143113566	0.0575143503894256	0.201526153986049	0.0695928165829654	0.0849445321284952	0.0603577296866712	0.0710849672460434	0.0334260649120134	0.256610119573102	0.0694654352755823	0.0237416985648965	0.308701975639034	0.279996439726056	0.112873178084891	0.11922884415167	0.283053617653327	0.133602296399648	0.387736089930759	NA
