Long	Lat
-77.8291225	-6.7261547
-77.858796	-6.71307
-77.82099	-6.58581
-77.7981377	-6.7234781
-77.6587111	-9.0866084
-77.6882763	-9.1053908
-77.609058	-9.0461786
-77.5859669	-9.1798145
-77.5462326	-9.1254234
-77.5981897	-9.1934454
-78.3013201	-7.1897827
-78.272	-7.0475
-79.7508	-3.6359
-77.4670726	-9.4701219
-77.4502042	-9.4402935
-79.10812	-6.97585
-79.3912582	-6.2610728
-76.6070248	-11.7447086
-77.927	-6.785
-77.87647	-6.42751
-77.9985	-5.8343333
-77.9634181	-5.8215626
-77.0847222	-9.5847222
-77.6815152	-9.0654829
-77.1728	-10.1314
-77.1441507	-10.0358993
-78.1988889	-7.0032778
-78.2644987	-7.1776265
-78.24931	-7.03894
-78.092125	-6.88937
-78.480037	-7.258788
-78.19181	-6.94174
-75.9095	-9.7683
-76.43605	-11.62625
-78.646028	-2.746028
-78.9891243	-2.9121822
-79.0312672	-2.9081669
-79.0477123	-2.8874803
-79.1939807	-3.1323158
-79.888327	-4.1475482
-79.7001457	-4.3630144
-79.763168	-4.343017
-79.587657	-3.949226
-77.7975883	-6.6899946
-77.85509	-6.93535
-78.063772	-6.099734
-77.865674	-6.267565
-77.485199	-9.5194968
-79.1517949	-6.3822624
-79.14004	-6.9941
-78.9209747	-6.4927123
-79.054184	-6.4135661
-76.58664	-11.73275
-79.5432778	-5.8838889
-79.4731321	-5.1162664
-79.5315914	-5.343728
-80.630516	-4.1647
-80.58614	-4.1433
-80.61974	-4.12949
-79.910234	-4.150662
-79.987623	-4.091974
-79.56834	-5.3715
-79.505496	-5.839914
-79.52694	-5.80759
-79.13235	-6.53832
-79.10733	-6.52884
-79.0552	-6.50314
-78.805	-6.393
-78.79109	-7.40422
-78.1189	-6.89156
-78.11451	-6.85241
-78.083	-6.833
-77.80074	-6.67078
-77.75748	-7.77675
-77.56107	-7.83827
-77.579	-7.834
-77.61461	-7.80425
-77.254588	-8.229825
-77.853034	-8.679047
-77.509202	-9.345465
-77.5456	-9.0278
-77.113	-9.617
-77.0948	-9.51136
-76.76423	-9.4095
-76.702	-9.383
-76.68034	-9.31418
-76.6055	-9.8332
-76.10493	-9.75282
-76.067421	-9.750429
-76.083917	-9.722942
-76.42155	-9.87417
-76.17191	-10.61816
-76.186298	-10.430953
-78.04255	-8.74496
-77.764	-9.516
-77.784601	-9.85255
-77.494	-10.074
-76.8333	-10.65
-76.75785	-10.56875
-76.726	-11.516
-76.424542	-11.910161
-76.45	-11.88
-78.15	-6.9
-77.3	-8.28
-79.166845	-3.413629
-77.73	-9.15
-79.4166667	-3.25
-78.9958191	-5.2772212
-79.3116667	-5.6666667
-76.7667	-10.6001
-75.6298	-10.3389
-76.17	-9.77
-76.1698	-9.7373
-76.0334	-9.7001
-77.447	-9.2267
-77.66666667	-9.166666667
-78.2456	-7.1656
-78.4012	-7.0878
-78.33333333	-7.083333333
-78.2237	-7.0348
-79.11584472	-6.35087718
-79.4534	-6.2814
-79.7501	-4.3667
-79.719	-4.36
-79.53	-4.328
-79.7903	-4.327
-79.417	-4.233
-79.98	-4.11
-79.95	-4.083
-79.93	-4.037
-79.1931	-4.0364
-79.4268	-3.5742
-79.235	-3.535
-79.261	-3.509
-79.422	-3.281
-79.281	-3.232
-79.283	-3.186
