Amotape	Canchaque	CarpaChavin	Carpish	Celendin	Chavinillo	Chinchan	Contumaza	CorBlanca	Duraznopampa	ElMolino	Huamatanga	LaQuinua	Llama	Macate	Pacar	Porculla	Quichas	Suyubamba
Amotape	0	1429.16682432714	2526.58201624476	2734.22479560611	1913.24136645372	2656.47581443104	2576.45651910442	1928.48445757558	2435.74050171509	1972.92254426294	2112.7692542803	3024.54794336463	2968.63722850065	1713.74733371185	2320.23711605512	2636.51839783592	1537.87650399308	2951.4945997617	2143.91648655448
Canchaque	1429.16682432714	0	1099.02868532628	1306.67146468763	490.555822671355	1228.92248351256	1148.90318818594	500.931126657101	1008.1871707966	550.237000480577	685.215923361818	1596.99461244615	1541.08389758217	286.194002793368	892.683785136634	1208.96506691744	110.323173074598	1523.94126884322	717.248754516663
CarpaChavin	2526.58201624476	1099.02868532628	0	209.831354189208	623.64925175117	132.082373014133	154.739593535397	646.74134310397	667.252501107872	655.762608745322	414.52467486179	1256.05994275742	444.243787083747	813.090670458149	551.749115447903	868.030397228707	997.329253936074	1183.00659915449	387.260456606709
Carpish	2734.22479560611	1306.67146468763	209.831354189208	0	831.292031112521	81.3523973509554	345.209240114837	854.384122465321	874.895280469223	863.405388106673	622.167454223141	1463.70272211877	249.47850656128	1020.7334498195	759.391894809254	1075.67317659006	1204.97203329742	1390.64937851584	594.90323596806
Celendin	1913.24136645372	490.555822671355	623.64925175117	831.292031112521	0	753.543049937447	673.523754610827	183.761907119624	569.416475380773	102.30427281118	210.495728706009	1158.22391703032	1065.70446400706	242.357419116895	453.913089720803	770.194371501608	392.89423035482	1085.17057342739	236.388795144462
Chavinillo	2656.47581443104	1228.92248351256	132.082373014133	81.3523973509554	753.543049937447	0	267.460258939763	776.635141290246	797.146299294148	785.656406931598	544.418473048066	1385.9537409437	315.764830245494	942.984468644425	681.64291363418	997.924195414984	1127.22305212235	1312.90039734077	517.154254792985
Chinchan	2576.45651910442	1148.90318818594	154.739593535397	345.209240114837	673.523754610827	267.460258939763	0	696.615845963627	717.127003967529	705.637111604979	464.399177721446	1305.93444561708	579.621673009376	862.965173317806	601.62361830756	917.904900088365	1047.20375679573	1232.88110201415	437.134959466365
Contumaza	1928.48445757558	500.931126657101	646.74134310397	854.384122465321	183.761907119624	776.635141290246	696.615845963627	0	542.620736944447	285.812554258909	240.429784263011	1131.42817859399	1088.79655535986	214.993111788969	427.117351284478	743.398633065283	399.231695266895	1058.37483499106	275.080656296149
CorBlanca	2435.74050171509	1008.1871707966	667.252501107872	874.895280469223	569.416475380773	797.146299294148	717.127003967529	542.620736944447	0	639.463347760524	415.839755868208	852.684404604172	1109.30771336376	722.24915592847	155.910844407062	464.654859075459	906.487739406396	779.631061001241	418.487295888365
Duraznopampa	1972.92254426294	550.237000480577	655.762608745322	863.405388106673	102.30427281118	785.656406931598	705.637111604979	285.812554258909	639.463347760524	0	275.765376300512	1228.27078941007	1097.81782100121	306.571598331722	523.959962100555	840.24124388136	452.575408164042	1155.21744580714	268.502152138613
ElMolino	2112.7692542803	685.215923361818	414.52467486179	622.167454223141	210.495728706009	544.418473048066	464.399177721446	240.429784263011	415.839755868208	275.765376300512	0	1004.64719751776	856.57988711768	399.277908493686	300.33637020824	616.617651989044	583.516491971611	931.593853914826	47.0129382584829
Huamatanga	3024.54794336463	1596.99461244615	1256.05994275742	1463.70272211877	1158.22391703032	1385.9537409437	1305.93444561708	1131.42817859399	852.684404604172	1228.27078941007	1004.64719751776	0	1698.11515501331	1311.05659757802	705.100188617782	388.042907897927	1495.29518105594	224.215786466677	1007.29473753791
LaQuinua	2968.63722850065	1541.08389758217	444.243787083747	249.47850656128	1065.70446400706	315.764830245494	579.621673009376	1088.79655535986	1109.30771336376	1097.81782100121	856.57988711768	1698.11515501331	0	1255.14588271404	993.804327703793	1310.0856094846	1439.38446619196	1625.06181141038	829.315668862599
Llama	1713.74733371185	286.194002793368	813.090670458149	1020.7334498195	242.357419116895	942.984468644425	862.965173317806	214.993111788969	722.24915592847	306.571598331722	399.277908493686	1311.05659757802	1255.14588271404	0	606.745770268502	923.027052049306	184.494571403162	1238.00325397509	431.310739648531
Macate	2320.23711605512	892.683785136634	551.749115447903	759.391894809254	453.913089720803	681.64291363418	601.62361830756	427.117351284478	155.910844407062	523.959962100555	300.33637020824	705.100188617782	993.804327703793	606.745770268502	0	317.070643089069	790.984353746427	632.046845014851	302.983910228396
Pacar	2636.51839783592	1208.96506691744	868.030397228707	1075.67317659006	770.194371501608	997.924195414984	917.904900088365	743.398633065283	464.654859075459	840.24124388136	616.617651989044	388.042907897927	1310.0856094846	923.027052049306	317.070643089069	0	1107.26563552723	314.989564294996	619.2651920092
Porculla	1537.87650399308	110.323173074598	997.329253936074	1204.97203329742	392.89423035482	1127.22305212235	1047.20375679573	399.231695266895	906.487739406396	452.575408164042	583.516491971611	1495.29518105594	1439.38446619196	184.494571403162	790.984353746427	1107.26563552723	0	1422.24183745301	615.549323126456
Quichas	2951.4945997617	1523.94126884322	1183.00659915449	1390.64937851584	1085.17057342739	1312.90039734077	1232.88110201415	1058.37483499106	779.631061001241	1155.21744580714	931.593853914826	224.215786466677	1625.06181141038	1238.00325397509	632.046845014851	314.989564294996	1422.24183745301	0	934.241393934983
Suyubamba	2143.91648655448	717.248754516663	387.260456606709	594.90323596806	236.388795144462	517.154254792985	437.134959466365	275.080656296149	418.487295888365	268.502152138613	47.0129382584829	1007.29473753791	829.315668862599	431.310739648531	302.983910228396	619.2651920092	615.549323126456	934.241393934983	0
