Amotape	Canchaque	CarpaChavin	Carpish	Celendin	Chavinillo	Chinchan	Contumaza	CorBlanca	Duraznopampa	ElMolino	Huamatanga	LaQuinua	Llama	Macate	Pacar	Porculla	Quichas	Suyubamba
Amotape	0	1429.16682432714	2526.58201624476	2707.18234748178	1913.24136645372	2656.47581443104	2559.97451459535	1928.48445757558	2435.74050171509	1972.92254426294	2112.7692542803	2986.99822420222	2954.33342780681	1713.74733371185	2320.23711605512	2608.1899813714	1537.87650399308	2828.41407469831	2143.91648655448
Canchaque	1429.16682432714	0	1099.02868532628	1279.6290165633	490.555822671355	1228.92248351256	1132.42118367687	500.931126657101	1008.1871707966	550.237000480577	685.215923361818	1559.44489328374	1526.78009688833	286.194002793368	892.683785136634	1180.63665045292	110.323173074598	1400.86074377983	717.248754516663
CarpaChavin	2526.58201624476	1099.02868532628	0	198.089329441785	623.64925175117	132.082373014133	154.098622754998	646.74134310397	202.469510917446	655.762608745322	414.52467486179	588.674632985955	444.206735739351	813.090670458149	355.902007044429	339.113938970285	997.329253936074	393.581323263816	387.260456606709
Carpish	2707.18234748178	1279.6290165633	198.089329441785	0	804.249582988188	81.3523973509554	307.59011580059	827.341674340987	376.412897238938	836.362939982339	595.125006098807	488.912596015034	249.47850656128	993.691001695166	529.84539336592	368.776794395734	1177.92958517309	265.32225216018	567.860787843726
Celendin	1913.24136645372	490.555822671355	623.64925175117	804.249582988188	0	753.543049937447	673.523754610827	183.761907119624	569.416475380773	102.30427281118	210.495728706009	1120.67419786791	1051.40066331322	242.357419116895	453.913089720803	741.865955037087	392.89423035482	962.090048363999	236.388795144462
Chavinillo	2656.47581443104	1228.92248351256	132.082373014133	81.3523973509554	753.543049937447	0	229.878185969911	776.635141290246	298.700967408259	785.656406931598	544.418473048066	498.545008230779	315.764830245494	942.984468644425	452.133463535242	292.195587127362	1127.22305212235	274.329221764101	517.154254792985
Chinchan	2559.97451459535	1132.42118367687	154.098622754998	307.59011580059	673.523754610827	229.878185969911	0	666.854749824712	126.712361160345	705.637111604979	464.399177721446	518.261518654595	542.002548695128	846.483168808736	280.144857287327	224.957645893929	1030.72175228666	359.539323172267	437.134959466365
Contumaza	1928.48445757558	500.931126657101	646.74134310397	827.341674340987	183.761907119624	776.635141290246	666.854749824712	0	542.620736944447	285.812554258909	240.429784263011	1093.87845943159	1074.49275466602	214.993111788969	427.117351284478	715.070216600762	399.231695266895	935.294309927673	275.080656296149
CorBlanca	2435.74050171509	1008.1871707966	202.469510917446	376.412897238938	569.416475380773	298.700967408259	126.712361160345	542.620736944447	0	633.90344731103	389.39477236936	553.276759522009	610.825330133476	722.24915592847	155.910844407062	174.505379628557	906.487739406396	394.692610018095	365.401295172417
Duraznopampa	1972.92254426294	550.237000480577	655.762608745322	836.362939982339	102.30427281118	785.656406931598	705.637111604979	285.812554258909	633.90344731103	0	275.765376300512	1185.16116979817	1083.51402030737	306.571598331722	523.959962100555	806.352926967344	452.575408164042	1026.57702029426	268.502152138613
ElMolino	2112.7692542803	685.215923361818	414.52467486179	595.125006098807	210.495728706009	544.418473048066	464.399177721446	240.429784263011	389.39477236936	275.765376300512	0	940.652494856499	842.276086423835	399.277908493686	300.33637020824	561.844252025674	583.516491971611	782.068345352586	47.0129382584829
Huamatanga	2986.99822420222	1559.44489328374	588.674632985955	488.912596015034	1120.67419786791	498.545008230779	518.261518654595	1093.87845943159	553.276759522009	1185.16116979817	940.652494856499	0	515.137416239378	1273.50687841561	687.76207170992	379.822657084292	1457.74546189354	224.215786466677	916.659017659556
LaQuinua	2954.33342780681	1526.78009688833	444.206735739351	249.47850656128	1051.40066331322	315.764830245494	542.002548695128	1074.49275466602	610.825330133476	1083.51402030737	842.276086423835	515.137416239378	0	1240.84208202019	764.257826260459	519.970402534723	1425.08066549812	291.547072384525	815.011868168755
Llama	1713.74733371185	286.194002793368	813.090670458149	993.691001695166	242.357419116895	942.984468644425	846.483168808736	214.993111788969	722.24915592847	306.571598331722	399.277908493686	1273.50687841561	1240.84208202019	0	606.745770268502	894.698635584785	184.494571403162	1114.9227289117	431.310739648531
Macate	2320.23711605512	892.683785136634	355.902007044429	529.84539336592	453.913089720803	452.133463535242	280.144857287327	427.117351284478	155.910844407062	523.959962100555	300.33637020824	687.76207170992	764.257826260459	606.745770268502	0	307.952776994842	790.984353746427	548.584417390289	295.294183490152
Pacar	2608.1899813714	1180.63665045292	339.113938970285	368.776794395734	741.865955037087	292.195587127362	224.957645893929	715.070216600762	174.505379628557	806.352926967344	561.844252025674	379.822657084292	519.970402534723	894.698635584785	307.952776994842	0	1078.93721906271	268.853383427028	537.850774828731
Porculla	1537.87650399308	110.323173074598	997.329253936074	1177.92958517309	392.89423035482	1127.22305212235	1030.72175228666	399.231695266895	906.487739406396	452.575408164042	583.516491971611	1457.74546189354	1425.08066549812	184.494571403162	790.984353746427	1078.93721906271	0	1299.16131238962	615.549323126456
Quichas	2828.41407469831	1400.86074377983	393.581323263816	265.32225216018	962.090048363999	274.329221764101	359.539323172267	935.294309927673	394.692610018095	1026.57702029426	782.068345352586	224.215786466677	291.547072384525	1114.9227289117	548.584417390289	268.853383427028	1299.16131238962	0	758.074868155643
Suyubamba	2143.91648655448	717.248754516663	387.260456606709	567.860787843726	236.388795144462	517.154254792985	437.134959466365	275.080656296149	365.401295172417	268.502152138613	47.0129382584829	916.659017659556	815.011868168755	431.310739648531	295.294183490152	537.850774828731	615.549323126456	758.074868155643	0
